Example 1) New Weights: {'SAT': 0.009212694096938999, 'ACT': 0.9604039004039601, 'LOCALE': 48.42769727830015, 'CTH': 201.89902019798015, 'CCSIZSET': 100, 'MAJOR': 196.02, 'INCOME': 1}
Example 3) New Weights: {'SAT': 0.008760304300919557, 'ACT': 0.9604039004039601, 'LOCALE': 48.902192345352674, 'CTH': 195.90241739907995, 'CCSIZSET': 100, 'MAJOR': 194.02098998059802, 'INCOME': 1}
Example 1) New Weights: {'SAT': 0.009212694096939, 'ACT': 0.904020376438108, 'LOCALE': 51.44812060200938, 'CTH': 201.89902019798015, 'CCSIZSET': 100, 'MAJOR': 196.02, 'INCOME': 1}
Example 3) New Weights: {'SAT': 0.009025750281541723, 'ACT': 0.894711705470435, 'LOCALE': 50.92854603204969, 'CTH': 201.89902019798015, 'CCSIZSET': 100, 'MAJOR': 196.02, 'INCOME': 1}
Example 4) New Weights: {'SAT': 0.009113273255492951, 'ACT': 0.9036588225251394, 'LOCALE': 49.90009494302422, 'CTH': 199.86004199300075, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 5) New Weights: {'SAT': 0.009108717530101403, 'ACT': 0.9036588225251394, 'LOCALE': 49.87514988506324, 'CTH': 199.86004199300075, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 9) New Weights: {'SAT': 0.008837295692788788, 'ACT': 0.9035684566428869, 'LOCALE': 49.855202817418714, 'CTH': 205.89540952531812, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 10) New Weights: {'SAT': 0.008404180271866266, 'ACT': 0.867964254213015, 'LOCALE': 46.93768379696052, 'CTH': 195.80448577866323, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 1) New Weights: {'SAT': 0.008404180271866266, 'ACT': 0.867964254213015, 'LOCALE': 46.93768379696052, 'CTH': 195.80448577866323, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 2) New Weights: {'SAT': 0.008780322491465315, 'ACT': 0.9545382637941746, 'LOCALE': 44.590799607112494, 'CTH': 176.71354841524357, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 3) New Weights: {'SAT': 0.005825045334144973, 'ACT': 0.9068113506044658, 'LOCALE': 31.139418428289186, 'CTH': 176.71354841524357, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 4) New Weights: {'SAT': 0.0034876698142907595, 'ACT': 0.5429414525275381, 'LOCALE': 31.139418428289186, 'CTH': 176.71354841524357, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 1) New Weights: {'SAT': 0.008404180271866266, 'ACT': 0.867964254213015, 'LOCALE': 46.93768379696052, 'CTH': 195.80448577866323, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 2) New Weights: {'SAT': 0.008236096666428942, 'ACT': 0.8506049691287547, 'LOCALE': 46.93768379696052, 'CTH': 195.80448577866323, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 6) New Weights: {'SAT': 0.00790678325954298, 'ACT': 0.8165942439463155, 'LOCALE': 46.93768379696052, 'CTH': 195.80448577866323, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 7) New Weights: {'SAT': 0.007001362042126126, 'ACT': 0.8165942439463155, 'LOCALE': 41.562757811114324, 'CTH': 195.80448577866323, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 8) New Weights: {'SAT': 0.007001362042126126, 'ACT': 0.8165942439463155, 'LOCALE': 41.562757811114324, 'CTH': 195.80448577866323, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 10) New Weights: {'SAT': 0.007001362042126126, 'ACT': 0.8165942439463155, 'LOCALE': 41.562757811114324, 'CTH': 195.80448577866323, 'CCSIZSET': 100, 'MAJOR': 197.98020000000002, 'INCOME': 1}
Example 1) New Weights: {'SAT': 0.007275479504103671, 'ACT': 0.8162676062487371, 'LOCALE': 44.07145276342101, 'CTH': 199.7205754942365, 'CCSIZSET': 99.067590755, 'MAJOR': 197.98020000000002, 'INCOME': 1.0023234242453565}
Example 4) New Weights: {'SAT': 0.007566381112519032, 'ACT': 0.8325929583737118, 'LOCALE': 44.916926705695566, 'CTH': 199.6406872640388, 'CCSIZSET': 99.067590755, 'MAJOR': 197.98020000000002, 'INCOME': 1.0023234242453565}
Example 5) New Weights: {'SAT': 0.007714621651275505, 'ACT': 0.8492448175411861, 'LOCALE': 45.81526523980948, 'CTH': 199.5608309891332, 'CCSIZSET': 99.067590755, 'MAJOR': 201.93980400000004, 'INCOME': 1.0023234242453565}
