Example 1) New Weights: {'SAT': 0.010198959902010002, 'ACT': 1.0, 'LOCALE': 51.504747505150505, 'CTH': 206.0602, 'CCSIZSET': 100, 'MAJOR': 200, 'INCOME': 1}
Example 2) New Weights: {'SAT': 0.010399798036637911, 'ACT': 1.0, 'LOCALE': 52.51898008502147, 'CTH': 206.0602, 'CCSIZSET': 100, 'MAJOR': 200, 'INCOME': 1}
Example 3) New Weights: {'SAT': 0.010088895553333834, 'ACT': 0.989901, 'LOCALE': 51.98339204605232, 'CTH': 199.9400059998, 'CCSIZSET': 100, 'MAJOR': 199.98, 'INCOME': 1}
Example 4) New Weights: {'SAT': 0.009886149005397391, 'ACT': 0.97980599940202, 'LOCALE': 50.434389375560635, 'CTH': 195.94160376041592, 'CCSIZSET': 100, 'MAJOR': 199.98, 'INCOME': 1}
Example 6) New Weights: {'SAT': 0.010080827261217014, 'ACT': 0.9896040593960401, 'LOCALE': 50.91836083212876, 'CTH': 195.94160376041592, 'CCSIZSET': 100, 'MAJOR': 199.98, 'INCOME': 1}
Example 7) New Weights: {'SAT': 0.010280367162094, 'ACT': 0.9995000999900006, 'LOCALE': 52.445501286062665, 'CTH': 199.8800299960003, 'CCSIZSET': 100, 'MAJOR': 199.98, 'INCOME': 1}
Example 8) New Weights: {'SAT': 0.010482808370213474, 'ACT': 1.0094951009899005, 'LOCALE': 52.94877149438922, 'CTH': 199.8800299960003, 'CCSIZSET': 100, 'MAJOR': 199.98, 'INCOME': 1}
Example 10) New Weights: {'SAT': 0.010477568014204384, 'ACT': 1.0094951009899005, 'LOCALE': 52.922302402989715, 'CTH': 199.8800299960003, 'CCSIZSET': 100, 'MAJOR': 199.98, 'INCOME': 1}
Example 11) New Weights: {'SAT': 0.010264957401060214, 'ACT': 1.0094951009899005, 'LOCALE': 51.848404037677604, 'CTH': 199.8800299960003, 'CCSIZSET': 100, 'MAJOR': 199.98, 'INCOME': 1}
Example 12) New Weights: {'SAT': 0.010158243513616615, 'ACT': 1.0094951009899005, 'LOCALE': 51.309391108891795, 'CTH': 199.8800299960003, 'CCSIZSET': 100, 'MAJOR': 199.98, 'INCOME': 1}
Example 13) New Weights: {'SAT': 0.009658456524813319, 'ACT': 0.9598278021050961, 'LOCALE': 51.82248501998071, 'CTH': 199.8800299960003, 'CCSIZSET': 100, 'MAJOR': 201.97979999999998, 'INCOME': 1}
Example 15) New Weights: {'SAT': 0.01014910475056886, 'ACT': 0.9598278021050961, 'LOCALE': 54.45505993130051, 'CTH': 199.8800299960003, 'CCSIZSET': 100, 'MAJOR': 201.97979999999998, 'INCOME': 1}
Example 17) New Weights: {'SAT': 0.010043595260398578, 'ACT': 0.959443928570083, 'LOCALE': 54.45505993130051, 'CTH': 199.8800299960003, 'CCSIZSET': 100, 'MAJOR': 199.96000199999997, 'INCOME': 1}
