
Example 1) New Weights: {'SAT': 0.010272215021491301, 'ACT': 1.0, 'LOCALE': 54.48896458150061, 'CTH': 225.101762, 'CCSIZSET': 100, 'MAJOR': 200, 'INCOME': 1}
Example 2) New Weights: {'SAT': 0.012243493860470215, 'ACT': 1.0, 'LOCALE': 64.94561318286426, 'CTH': 225.101762, 'CCSIZSET': 100, 'MAJOR': 200, 'INCOME': 1}
Example 3) New Weights: {'SAT': 0.013354725319126846, 'ACT': 0.969127, 'LOCALE': 75.28976560241085, 'CTH': 245.974773084974, 'CCSIZSET': 100, 'MAJOR': 212.18, 'INCOME': 1}
Example 4) New Weights: {'SAT': 0.015017333226905702, 'ACT': 1.09076097650887, 'LOCALE': 72.89967585876556, 'CTH': 252.89818426497686, 'CCSIZSET': 100, 'MAJOR': 212.18, 'INCOME': 1}
Example 6) New Weights: {'SAT': 0.014949876758356656, 'ACT': 1.0580381472136038, 'LOCALE': 74.81671883873818, 'CTH': 252.89818426497686, 'CCSIZSET': 100, 'MAJOR': 212.18, 'INCOME': 1}
Example 7) New Weights: {'SAT': 0.017834868834932762, 'ACT': 1.089779291630012, 'LOCALE': 86.57703317928531, 'CTH': 252.67057589913836, 'CCSIZSET': 100, 'MAJOR': 212.18, 'INCOME': 1}
Example 8) New Weights: {'SAT': 0.02001915284700463, 'ACT': 1.0570859128811116, 'LOCALE': 100.18593157343928, 'CTH': 252.67057589913836, 'CCSIZSET': 100, 'MAJOR': 212.18, 'INCOME': 1}
Example 10) New Weights: {'SAT': 0.023860907745925693, 'ACT': 1.0570859128811116, 'LOCALE': 119.41200953821291, 'CTH': 252.67057589913836, 'CCSIZSET': 100, 'MAJOR': 212.18, 'INCOME': 1}
Example 11) New Weights: {'SAT': 0.02683149178694224, 'ACT': 1.0570859128811116, 'LOCALE': 151.1314202364436, 'CTH': 252.67057589913836, 'CCSIZSET': 100, 'MAJOR': 238.8104593058, 'INCOME': 1}
Example 12) New Weights: {'SAT': 0.028363191989561887, 'ACT': 1.0570859128811116, 'LOCALE': 159.75889532565986, 'CTH': 252.67057589913836, 'CCSIZSET': 100, 'MAJOR': 238.8104593058, 'INCOME': 1}
Example 13) New Weights: {'SAT': 0.03186558688118638, 'ACT': 1.1876189044656107, 'LOCALE': 164.55166218542968, 'CTH': 252.67057589913836, 'CCSIZSET': 100, 'MAJOR': 245.974773084974, 'INCOME': 1}
Example 15) New Weights: {'SAT': 0.03576825039971651, 'ACT': 1.1876189044656107, 'LOCALE': 184.70474366856797, 'CTH': 252.67057589913836, 'CCSIZSET': 100, 'MAJOR': 245.974773084974, 'INCOME': 1}
Example 17) New Weights: {'SAT': 0.041390601588609695, 'ACT': 1.221046616981152, 'LOCALE': 201.8318604347233, 'CTH': 252.67057589913836, 'CCSIZSET': 100, 'MAJOR': 268.78327586882443, 'INCOME': 1}
Example 18) New Weights: {'SAT': 0.03774208604760986, 'ACT': 1.1488827619175659, 'LOCALE': 213.5458076630293, 'CTH': 275.85147042618627, 'CCSIZSET': 100, 'MAJOR': 268.78327586882443, 'INCOME': 1}
Example 19) New Weights: {'SAT': 0.038769482324067524, 'ACT': 1.1822842304547951, 'LOCALE': 219.35884532526617, 'CTH': 283.8713002258868, 'CCSIZSET': 100, 'MAJOR': 268.78327586882443, 'INCOME': 1}
Example 22) New Weights: {'SAT': 0.04351768435350411, 'ACT': 1.3270817373054717, 'LOCALE': 219.35884532526617, 'CTH': 283.8713002258868, 'CCSIZSET': 100, 'MAJOR': 268.78327586882443, 'INCOME': 1}
Example 23) New Weights: {'SAT': 0.04332220695005542, 'ACT': 1.3270817373054717, 'LOCALE': 218.3735057295431, 'CTH': 283.8713002258868, 'CCSIZSET': 100, 'MAJOR': 268.78327586882443, 'INCOME': 1}
Example 24) New Weights: {'SAT': 0.04587783762850661, 'ACT': 1.364434887067965, 'LOCALE': 231.67245222847228, 'CTH': 309.9146598310789, 'CCSIZSET': 100, 'MAJOR': 268.5413709205425, 'INCOME': 1}
Example 28) New Weights: {'SAT': 0.04434151323821764, 'ACT': 1.364434887067965, 'LOCALE': 230.63180105217492, 'CTH': 319.21209962601125, 'CCSIZSET': 100, 'MAJOR': 268.5413709205425, 'INCOME': 1}
Example 29) New Weights: {'SAT': 0.04832246288654764, 'ACT': 1.4015768542786338, 'LOCALE': 244.6772777362524, 'CTH': 319.21209962601125, 'CCSIZSET': 100, 'MAJOR': 284.8955404096035, 'INCOME': 1}
Example 30) New Weights: {'SAT': 0.052708256805444324, 'ACT': 1.5774870973826889, 'LOCALE': 229.8026467665692, 'CTH': 300.346664538114, 'CCSIZSET': 100, 'MAJOR': 293.4424066218916, 'INCOME': 1}
Example 32) New Weights: {'SAT': 0.04254903864656785, 'ACT': 1.5287853382251932, 'LOCALE': 185.67659627268574, 'CTH': 300.346664538114, 'CCSIZSET': 100, 'MAJOR': 284.63913442323485, 'INCOME': 1}
Example 33) New Weights: {'SAT': 0.0423579123098284, 'ACT': 1.5287853382251932, 'LOCALE': 184.8425542169151, 'CTH': 300.346664538114, 'CCSIZSET': 100, 'MAJOR': 284.63913442323485, 'INCOME': 1}
Example 34) New Weights: {'SAT': 0.04358938389441204, 'ACT': 1.574648898371949, 'LOCALE': 184.8425542169151, 'CTH': 290.288869094304, 'CCSIZSET': 100, 'MAJOR': 275.3551612191102, 'INCOME': 1}
Example 37) New Weights: {'SAT': 0.038589368154052776, 'ACT': 1.5274094314207907, 'LOCALE': 189.70335938219813, 'CTH': 326.4286291989265, 'CCSIZSET': 100, 'MAJOR': 275.3551612191102, 'INCOME': 1}
Example 38) New Weights: {'SAT': 0.03743168710943119, 'ACT': 1.5274094314207907, 'LOCALE': 189.36204699503125, 'CTH': 288.2053611509459, 'CCSIZSET': 100, 'MAJOR': 251.08304275637914, 'INCOME': 1}
Example 40) New Weights: {'SAT': 0.03512446737802819, 'ACT': 1.5232891364473913, 'LOCALE': 189.02134869369826, 'CTH': 305.7570676450385, 'CCSIZSET': 100, 'MAJOR': 251.08304275637914, 'INCOME': 1}
Example 42) New Weights: {'SAT': 0.03400943363393932, 'ACT': 1.5232891364473913, 'LOCALE': 177.2107901461657, 'CTH': 296.05074400890715, 'CCSIZSET': 100, 'MAJOR': 251.08304275637914, 'INCOME': 1}
Example 43) New Weights: {'SAT': 0.026630678567845015, 'ACT': 1.1927932642235504, 'LOCALE': 177.2107901461657, 'CTH': 296.05074400890715, 'CCSIZSET': 100, 'MAJOR': 251.08304275637914, 'INCOME': 1}
Example 44) New Weights: {'SAT': 0.026511056028735814, 'ACT': 1.1927932642235504, 'LOCALE': 176.41477570662272, 'CTH': 296.05074400890715, 'CCSIZSET': 100, 'MAJOR': 251.08304275637914, 'INCOME': 1}
Example 45) New Weights: {'SAT': 0.02489937316757076, 'ACT': 1.1927932642235504, 'LOCALE': 155.7574293335222, 'CTH': 296.05074400890715, 'CCSIZSET': 100, 'MAJOR': 236.0314152980406, 'INCOME': 1}
Example 46) New Weights: {'SAT': 0.024787527491804583, 'ACT': 1.1927932642235504, 'LOCALE': 155.05778140173817, 'CTH': 296.05074400890715, 'CCSIZSET': 100, 'MAJOR': 236.0314152980406, 'INCOME': 1}
Example 47) New Weights: {'SAT': 0.024000642119610106, 'ACT': 1.1927932642235504, 'LOCALE': 154.3612762235971, 'CTH': 304.3836352449175, 'CCSIZSET': 100, 'MAJOR': 236.0314152980406, 'INCOME': 1}
Example 48) New Weights: {'SAT': 0.023280622856021803, 'ACT': 1.1927932642235504, 'LOCALE': 149.46104443025752, 'CTH': 303.28933257512006, 'CCSIZSET': 100, 'MAJOR': 221.68239101473583, 'INCOME': 1}
Example 49) New Weights: {'SAT': 0.020591618875533683, 'ACT': 1.1927932642235504, 'LOCALE': 131.95985411490858, 'CTH': 302.7436574408443, 'CCSIZSET': 100, 'MAJOR': 221.68239101473583, 'INCOME': 1}
Example 50) New Weights: {'SAT': 0.018180436468669074, 'ACT': 1.1927932642235504, 'LOCALE': 116.50797145441811, 'CTH': 302.7436574408443, 'CCSIZSET': 100, 'MAJOR': 221.68239101473583, 'INCOME': 1}
